"idSpecimen","Specimen","Taxo","StageSex","Date","Transect","Plot","SamplingPoint.Replicate","Method","body","leg","eye","chel","fang"
36736,"IT14-0055-01","equaleye","f","07/11/2014","800m","P2",1,"Winkler48h",0.78436946,0.934210526315789,0.155172413793103,0.368421052631579,0.263157894736842
36737,"IT14-0055-02","equaleye","f","07/11/2014","800m","P2",1,"Winkler48h",0.89271924,0.841463414634146,0.133333333333333,0.439024390243902,0.24390243902439
36738,"IT14-0055-03","equaleye","f","07/11/2014","800m","P2",1,"Winkler48h",0.84035882,0.935897435897436,0.166666666666667,0.358974358974359,0.230769230769231
36909,"IT14-0056-44","citrouille","l","07/11/2014","800m","P2",2,"Winkler48h",2.78728513,0.848837209302326,0.101351351351351,0.441860465116279,0.313953488372093
36910,"IT14-0056-45","longue patte","l","07/11/2014","800m","P2",2,"Winkler48h",0.95726253,1.95454545454545,0.151515151515152,0.424242424242424,0.136363636363636
36911,"IT14-0056-46","","f","07/11/2014","800m","P2",2,"Winkler48h",5.39591136,0.668877551020408,0.105612244897959,0.367687074829932,0.22687074829932
36944,"IT14-0057-23","longue patte","l","07/11/2014","800m","P2",3,"Winkler48h",0.8709456,1.89393939393939,0.125,0.454545454545455,0.181818181818182
36945,"IT14-0057-24","","m","07/11/2014","800m","P2",3,"Winkler48h",0.7128275,0.930232558139535,0.147058823529412,0.395348837209302,0.255813953488372
36946,"IT14-0057-25","","l","07/11/2014","800m","P2",3,"Winkler48h",3.75880421,0.836842105263158,0.125,0.347368421052632,0.242105263157895
36947,"IT14-0057-26","macaron","l","07/11/2014","800m","P2",3,"Winkler48h",2.17606795,0.737704918032787,0.127272727272727,0.295081967213115,0.19672131147541
36948,"IT14-0057-27","","l","07/11/2014","800m","P2",3,"Winkler48h",0.70868014,0.6625,0.108108108108108,0.275,0.175
37032,"IT14-0058-78","equaleye","f","07/11/2014","800m","P2",4,"Winkler48h",1.19547652,0.851063829787234,0.125,0.361702127659574,0.25531914893617
37033,"IT14-0058-79","angleagrume","f","07/11/2014","800m","P2",4,"Winkler48h",1.62317302,0.75,0.152777777777778,0.338709677419355,0.17741935483871
37034,"IT14-0058-80","","l","07/11/2014","800m","P2",4,"Winkler48h",0.27787312,0.74,0.15,0.44,0.24
37098,"IT14-0059-59","","m","07/11/2014","800m","P2",5,"Winkler48h",0.63013951,0.930232558139535,0.151515151515152,0.325581395348837,0.232558139534884
37099,"IT14-0059-60","migale","l","07/11/2014","800m","P2",5,"Winkler48h",10.06892536,0.608844596698848,0.0843534174803525,0.616007474307069,0.429772656493304
37100,"IT14-0059-61","noir","m","07/11/2014","800m","P2",5,"Winkler48h",5.8469152,0.631006493506494,0.0999034749034749,0.276298701298701,0.186688311688312
37101,"IT14-0059-62","equaleye","f","07/11/2014","800m","P2",5,"Winkler48h",0.54745152,0.742424242424242,0.166666666666667,0.333333333333333,0.212121212121212
37146,"IT14-0060-43","noir","l","07/11/2014","800m","P2",6,"Winkler48h",4.950911,0.805825242718447,0.0909090909090909,0.359223300970874,0.29126213592233
37147,"IT14-0060-44","marron","l","07/11/2014","800m","P2",6,"Winkler48h",3.10740948,1.45956054230949,0.166666666666667,0.548387096774194,0.397849462365591
37148,"IT14-0060-45","marron","m","07/11/2014","800m","P2",6,"Winkler48h",4.0759376,0.731732348111658,0.123214285714286,0.292692939244663,0.217159277504105
37149,"IT14-0060-46","equaleye","m","07/11/2014","800m","P2",6,"Winkler48h",0.38070256,0.732142857142857,0.120798319327731,0.357142857142857,0.178571428571429
37165,"IT14-0061-16","equaleye","f","07/11/2014","800m","P2",7,"Winkler48h",0.52593709,0.803030303030303,0.12,0.393939393939394,0.212121212121212
37166,"IT14-0061-17","equaleye","f","07/11/2014","800m","P2",7,"Winkler48h",0.75274584,0.923076923076923,0.15,0.41025641025641,0.256410256410256
37224,"IT14-0062-56","equaleye","f","07/11/2014","800m","P2",8,"Winkler48h",0.69597885,0.8625,0.133333333333333,0.325,0.225
37225,"IT14-0062-57","equaleye","f","07/11/2014","800m","P2",8,"Winkler48h",0.87742585,0.9,0.161290322580645,0.325,0.25
37226,"IT14-0062-58","blind","l","07/11/2014","800m","P2",8,"Winkler48h",0.40462681,0.634615384615385,0,0.307692307692308,0.192307692307692
37227,"IT14-0062-59","blind","l","07/11/2014","800m","P2",8,"Winkler48h",0.40073866,0.611111111111111,0,0.296296296296296,0.185185185185185
37312,"IT14-0063-74","equaleye","f","07/11/2014","800m","P2",9,"Winkler48h",0.97229671,0.890243902439025,0.155172413793103,0.390243902439024,0.24390243902439
37313,"IT14-0063-75","equaleye","f","07/11/2014","800m","P2",9,"Winkler48h",0.76881686,1.54,0.140625,0.6,0.4
37314,"IT14-0063-76","macaron","l","07/11/2014","800m","P2",9,"Winkler48h",0.86420614,0.605263157894737,0.121212121212121,0.315789473684211,0.184210526315789
37315,"IT14-0063-77","equaleye","f","07/11/2014","800m","P2",9,"Winkler48h",1.06431626,0.865853658536585,0.129032258064516,0.341463414634146,0.24390243902439
37316,"IT14-0063-78","equaleye","f","07/11/2014","800m","P2",9,"Winkler48h",0.7128275,0.9125,0.133333333333333,0.375,0.25
37317,"IT14-0063-79","roseagrume","f","07/11/2014","800m","P2",9,"Winkler48h",0.64646974,0.785714285714286,0.14,0.428571428571429,0.25
37318,"IT14-0063-80","equaleye","f","07/11/2014","800m","P2",9,"Winkler48h",0.88960872,0.857142857142857,0.140625,0.357142857142857,0.214285714285714
37319,"IT14-0063-81","madibfat","l","07/11/2014","800m","P2",9,"Winkler48h",1.20377124,0.681034482758621,0.144736842105263,0.379310344827586,0.258620689655172
37376,"IT14-0064-52","striped","l","07/11/2014","800m","P2",10,"Winkler48h",2.52963039,0.726027397260274,0.158730158730159,0.36986301369863,0.205479452054795
37377,"IT14-0064-53","equaleye","m","07/11/2014","800m","P2",10,"Winkler48h",0.70842093,0.855555555555556,0.151515151515152,0.444444444444444,0.266666666666667
37378,"IT14-0064-54","agrume","f","07/11/2014","800m","P2",10,"Winkler48h",0.98914536,1.05,0.151515151515152,0.425,0.2
37379,"IT14-0064-55","equaleye","l","07/11/2014","800m","P2",10,"Winkler48h",0.45983854,0.838709677419355,0.12,0.354838709677419,0.258064516129032
37381,"IT14-0064-57","mascara","l","07/11/2014","800m","P2",10,"Winkler48h",0.46191222,0.606060606060606,0.0833333333333333,0.242424242424242,0.151515151515152
37421,"IT14-0065-37","equaleye","f","07/11/2014","800m","P2",11,"Winkler48h",0.96529804,0.792682926829268,0.15,0.390243902439024,0.268292682926829
37422,"IT14-0065-38","equaleye","f","07/11/2014","800m","P2",11,"Winkler48h",1.23332118,0.909090909090909,0.140625,0.431818181818182,0.25
37423,"IT14-0065-39","equaleye","f","07/11/2014","800m","P2",11,"Winkler48h",0.97177829,0.914634146341464,0.145161290322581,0.365853658536585,0.24390243902439
37424,"IT14-0065-40","equaleye","m","07/11/2014","800m","P2",11,"Winkler48h",0.32349408,0.821428571428572,0.142857142857143,0.428571428571429,0.214285714285714
37425,"IT14-0065-41","equaleye","","07/11/2014","800m","P2",11,"Winkler48h",0.98836773,0.872093023255814,0.161290322580645,0.395348837209302,0.232558139534884
37426,"IT14-0065-42","equaleye","m","07/11/2014","800m","P2",11,"Winkler48h",0.81936281,0.847826086956522,0.121212121212121,0.391304347826087,0.260869565217391
37427,"IT14-0065-43","equaleye","f","07/11/2014","800m","P2",11,"Winkler48h",1.0420242,0.739583333333333,0.133333333333333,0.291666666666667,0.1875
